Height (cm),No. of leaves,Total length of leaves (cm),Treatment
67,34,318,EG
64,46,328,EG
65,36,325,EG
76,41,308,EG
75,46,374,EG
62,47,310,EG
79,48,414,EG
65,46,386,EG
72,35,366,EG
75,49,394,EG
72,45,415,EG
74,49,376,EG
70,25,235,PCG
59,31,325,PCG
66,27,249,PCG
69,31,318,PCG
58,28,207,PCG
59,32,250,PCG
58,21,293,PCG
70,29,260,PCG
72,28,283,PCG
71,44,265,PCG
58,52,394,PCG
58,26,282,PCG
52,39,227,NCG
50,29,247,NCG
45,23,216,NCG
36,39,208,NCG
58,42,236,NCG
44,24,192,NCG
64,41,275,NCG
51,37,244,NCG
53,32,232,NCG
43,29,276,NCG
45,39,287,NCG
45,37,326,NCG